'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.7.3074           - 27-Mar-2016 20:04:21'
'PRJ_DEF', -1,'LAB'
'PRJ_HDR', -1,' '
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  24192.00000000,' '
'MIS_END',  1,  26017.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 27/03/2016 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 26/03/2021 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 9.8371E+07, 6.1053E+07, 1.1628E+05, 3.7202E+07
 1.0000E-01, 4.1952E+07, 3.2914E+07, 7.0314E+04, 8.9675E+06
 2.0000E-01, 1.7356E+07, 1.5429E+07, 3.8860E+04, 1.8879E+06
 3.0000E-01, 9.9035E+06, 9.1245E+06, 2.5854E+04, 7.5308E+05
 4.0000E-01, 6.5772E+06, 6.1323E+06, 1.8864E+04, 4.2603E+05
 5.0000E-01, 4.7118E+06, 4.4170E+06, 1.4709E+04, 2.8003E+05
 6.0000E-01, 3.5374E+06, 3.3317E+06, 1.2014E+04, 1.9364E+05
 8.0000E-01, 2.2176E+06, 2.1095E+06, 8.7391E+03, 9.9358E+04
 1.0000E+00, 1.5323E+06, 1.4704E+06, 6.8561E+03, 5.5038E+04
 1.5000E+00, 7.6645E+05, 7.4386E+05, 4.3935E+03, 1.8199E+04
 2.0000E+00, 4.3711E+05, 4.2516E+05, 3.1726E+03, 8.7765E+03
 2.5000E+00, 2.6083E+05, 2.5322E+05, 2.4546E+03, 5.1600E+03
 3.0000E+00, 1.5936E+05, 1.5401E+05, 2.0017E+03, 3.3548E+03
 4.0000E+00, 6.2517E+04, 5.9450E+04, 1.4727E+03, 1.5947E+03
 5.0000E+00, 2.5098E+04, 2.3116E+04, 1.1738E+03, 8.0879E+02
 6.0000E+00, 1.0199E+04, 8.7269E+03, 9.8699E+02, 4.8537E+02
 7.0000E+00, 4.3308E+03, 3.1475E+03, 8.5857E+02, 3.2466E+02
 8.0000E+00, 2.0612E+03, 1.0587E+03, 7.6444E+02, 2.3813E+02
 9.0000E+00, 1.2070E+03, 3.3211E+02, 6.9485E+02, 1.8007E+02
 1.0000E+01, 8.7609E+02, 9.7302E+01, 6.4088E+02, 1.3791E+02
 1.2000E+01, 6.5307E+02, 6.7852E+00, 5.6054E+02, 8.5743E+01
 1.4000E+01, 5.6099E+02, 2.0283E-01, 5.0403E+02, 5.6759E+01
 1.6000E+01, 5.0424E+02, 1.5515E-03, 4.6086E+02, 4.3381E+01
 1.8000E+01, 4.5956E+02, 1.8275E-05, 4.2443E+02, 3.5127E+01
 2.0000E+01, 4.2301E+02, 0.0000E+00, 3.9351E+02, 2.9497E+01
'End of File'
